Fields;Wells;Direction;SampleID;Depth;Zones;Lith Description;Bulk Density Water;Grain Desnsity Water;Bulk Density Kerosin;Grain Desnsity Kerosin;Bulk Density Helium;Grain Desnsity Helium;Bulk Density;Bulk Density Sat;Grain Desnsity;Water Porosity;Kerosin Porosity;Helium Porosity;Porosity;Gas Permeability;Permeability_Kl;Swirr(waterholding capacity);Swirr;Comments;SW;SO
Zapadno-Zimnee;1PO;кус;26219-17;2225.02;AC7;Аргиллит алевритистый.;;;;;;;2.429501;2.543493262;2.725381;;10.8565;;10.8565;;;;;;;
Zapadno-Zimnee;1PO;пар;26222-17;2228.04;AC7;Песчаник мелко-тонкозернистый, глинистый, известковистый, с линзами аргиллита алевритистого, с мелкими стяжениями пирита.;;;;;;;2.50393;2.575461896;2.686983;;6.8126;6.25;6.8126;0.03;0.017;;;;;
Zapadno-Zimnee;1PO;кус;26223-17;2229.06;AC8;Аргиллит алевритистый, со слойками алевролита крупнозернистого, с мелкими стяжениями пирита.;;;;;;;2.51995;2.614337417;2.76885;;8.9893;;8.9893;;;;;;;
Zapadno-Zimnee;1PO;пар;26224-17;2229.9;AC8;Алевролит крупнозернистый, глинисто-песчаный, слабо биотурбированный, известковистый.;;;;;;;2.369378553;2.497579327;2.69890385;12.20959751;;11.56;12.20959751;0.57;0.469;;;;;
Zapadno-Zimnee;1PO;кус;26228-17;2233.41;AC8;Аргиллит алевритистый, с прослоем песчаника тонкозернистого, глинистого, с зернами сидерита.;;;;;;;2.435403;2.534841151;2.690172;;9.4704;;9.4704;;;;;;;
Zapadno-Zimnee;1PO;пар;26229-17;2234.15;AC8;Алевролит разнозернистый, глинистый, с тонкими слойками глинистого материала, с зернами сидерита.;;;;;;;2.438555;2.528246842;2.666314;;8.5421;8.01;8.5421;0.029;0.016;;;;;
Zapadno-Zimnee;1PO;пар;26230-17;2235.09;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого.;;;;;;;2.429143;2.525964149;2.675889;;9.2211;8.59;9.2211;64.279;62.224;;;трещина;;
Zapadno-Zimnee;1PO;пар;26231-17;2235.89;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого, биотурбированный, с зернами сидерита, с частично открытой трещиной.;;;;;;;2.428956;2.527032011;2.67921;;9.3406;8.54;9.3406;0.341;0.272;;;трещина;;
Zapadno-Zimnee;1PO;пар;26232-17;2236.52;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого, биотурбированный, со стяжениями пирита.;;;;;;;2.43777;2.532446597;2.679363;;9.0168;8.15;9.0168;0.013;0.006;;;;;
Zapadno-Zimnee;1PO;кус;26233-17;2237.41;AC8;Биотурбированное переслаивание аргиллита, алевролита разнозернистого, глинистого и алевролита крупнозернистого, песчанистого.;;;;;;;2.422517;2.523002514;2.678887;;9.57;;9.57;;;;;;;
Zapadno-Zimnee;1PO;кус;26234-17;2238.03;AC8;Аргиллит алевритистый.;;;;;;;2.437584;2.544351228;2.713501;;10.1683;;10.1683;;;;;;;
Zapadno-Zimnee;1PO;кус;26235-17;2238.46;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, биотурбированный, с зернами сидерита.;;;;;;;2.45371;2.558277566;2.725099;;9.9589;;9.9589;;;;;;;
Zapadno-Zimnee;1PO;кус;26236-17;2239.12;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, биотурбированный.;;;;;;;2.42822;2.533072617;2.697604;;9.9861;;9.9861;;;;;;;
Zapadno-Zimnee;1PO;кус;26237-17;2240.1;AC8;Аргиллит алевритистый.;;;;;;;2.393096;2.516549758;2.711954;;11.7575;;11.7575;;;;;;;
Zapadno-Zimnee;1PO;пар;26238-17;2241.62;AC8;Алевролит крупнозернистый, глинистый, со слойками аргиллита алевритистого, биотурбированный, с зернами сидерита и углистыми растительными остатками.;;;;;;;2.427954;2.532525528;2.696506;;9.9593;9.19;9.9593;0.043;0.026;;;;;
Zapadno-Zimnee;1PO;кус;26239-17;2242.51;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, биотурбированный, с зернами сидерита.;;;;;;;2.422171;2.522695561;2.678616;;9.5738;;9.5738;;;;;;;
Zapadno-Zimnee;1PO;кус;26240-17;2243.39;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, со стяжениями пирита.;;;;;;;2.420097;2.519883066;2.674243;;9.5035;;9.5035;;;;;;;
Zapadno-Zimnee;1PO;кус;26241-17;2244.02;AC8;Алевролит крупнозернистый, со слойками глинистого материала, с мелкими стяжениями пирита.;;;;;;;2.497947;2.580990773;2.712476;;7.909;;7.909;;;;;;;
Zapadno-Zimnee;1PO;пар;26242-17;2244.91;AC8;Алевролит разнозернистый, глинистый, со слойками и линзочками песчаника тонкозернистого, алевритистого, неравномерно известковистого, со стяжениями пирита.;;;;;;;2.448204;2.550134042;2.711416;;9.7075;9.45;9.7075;0.053;0.032;;;;;
Zapadno-Zimnee;1PO;пар;26243-17;2245.81;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, биотурбированный, со стяжениями пирита.;;;;;;;2.430688;2.530822361;2.686928;;9.5365;9.14;9.5365;0.025;0.013;;;;;
Zapadno-Zimnee;1PO;пар;26244-17;2247.04;AC8;Алевролит крупнозернистый, песчанистый, со слойками глинистого материала и с прослоем сидеритизированного материала, биотурбированный.;;;;;;;2.544909;2.657422752;2.850342;;10.7157;10.06;10.7157;0.046;0.028;;;;;
Zapadno-Zimnee;1PO;кус;26245-17;2247.95;AC8;Алевролит разнозернистый, глинистый, со слойками и линзочками глинистого материала и алевролита крупнозернистого, биотурбированный.;;;;;;;2.452064;2.559071752;2.730318;;10.1913;;10.1913;;;;;;;
Zapadno-Zimnee;1PO;пар;26246-17;2248.81;AC8;Алевролит разнозернистый, глинистый, со слойками алевролита крупнозернистого и аргиллита алевритистого, биотурбированный, со стяжениями пирита.;;;;;;;2.429867;2.534126756;2.697739;;9.9295;9.15;9.9295;22.808;21.672;;;трещина;;
Zapadno-Zimnee;1PO;кус;26247-17;2249.8;AC8;Аргиллит алевритистый.;;;;;;;2.432822;2.534778904;2.694461;;9.7103;;9.7103;;;;;;;
Zapadno-Zimnee;1PO;кус;26248-17;2250.92;AC8;Аргиллит алевритистый, с тонкими слойками алевролита крупнозернистого.;;;;;;;2.42376;2.532704985;2.704356;;10.3757;;10.3757;;;;;;;
Zapadno-Zimnee;1PO;кус;26249-17;2251.62;AC8;Аргиллит алевритистый, с линзочками алевролита крупнозернистого, биотурбированный.;;;;;;;2.423745;2.530210911;2.697232;;10.1395;;10.1395;;;;;;;
Zapadno-Zimnee;1PO;пар;26250-17;2261.27;AC8;Песчаник мелко-тонкозернистый, глинисто-алевритовый, известковый, с вкраплениями пирита.;;;;;;;2.518369;2.582719077;2.682786;;6.1286;5.16;6.1286;0.055;0.034;;;;82.8;
Zapadno-Zimnee;1PO;пар;26251-17;2261.8;AC9;Песчаник мелко-тонкозернистый глинисто-алевритистый, известковый, с вкраплениями пирита.;;;;;;;2.502938;2.573233749;2.68253;;6.6949;6.54;6.6949;0.078;0.051;;;;80.9;
Zapadno-Zimnee;1PO;пар;26252-17;2264.48;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, с единичным интракластом аргиллита.;;;;;;;2.377700627;2.499480734;2.689648947;11.59810539;;10.96;11.59810539;3.425;3.056;;43.97341268;;;
Zapadno-Zimnee;1PO;пар;26253-17;2264.48;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковистый, с единичным интракластом аргиллита.;;;;;;;2.328225405;2.467811059;2.685191295;13.29387187;;12.58;13.29387187;7.249;6.669;;33.14837234;;;
Zapadno-Zimnee;1PO;пар;26254-17;2264.63;AC9;Песчаник нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, со стяжениями пирита.;;;;;;;2.471801573;2.557737416;2.692135823;8.184366045;;7.45;8.184366045;0.462;0.372;;;;58.2;
Zapadno-Zimnee;1PO;пар;26255-17;2264.81;AC9;Песчаник пятнисто нефтенасыщенный, тонко-мелкозернистый, алевритистый, известковый, со слабо выраженными слойками углистого материала, с зернами сидерита.;;;;;;;2.498185;2.569276558;2.679611;;6.7706;6.35;6.7706;0.096;0.065;;;;;
Zapadno-Zimnee;1PO;пар;26256-17;2264.94;AC9;Песчаник тонко-мелкозернистый, алевритистый, известковый, с зернами сидерита.;;;;;;;2.540949;2.596994026;2.684224;;5.3377;4.92;5.3377;0.059;0.038;;;;;
