Well;Depth_Original;Depth;Formation;SampleID;Permeability_Kl;Permeability Kl;Porosity;CP;SW
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;0.026942866;97.14507117
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;0.065478124;94.13312125
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;0.156579636;61.95195563
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;0.37528423;46.58428158
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;0.896340021;38.4293813
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;2.147868812;33.71670949
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;4.209822871;30.34789347
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;8.117088351;27.24213875
1PO;2263.34;2266.74;AC9;26271-17;77.755;75.455;22.1867358;19.98054962;24.47285778
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;0.026942866;96.63461538
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;0.065478124;95.45152428
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;0.156579636;86.70241049
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;0.37528423;58.44115562
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;0.896340021;47.21729883
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;2.147868812;41.18885147
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;4.209822871;37.83676001
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;8.117088351;34.6308933
1PO;2264.32;2267.72;AC9;26280-17;20.232;19.185;20.17660978;19.98054962;31.8459766
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;0.026942866;96.49960826
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;0.065478124;95.43811762
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;0.156579636;93.06240049
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;0.37528423;72.98506331
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;0.896340021;57.29016605
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;2.147868812;50.41322314
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;4.209822871;46.4301059
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;8.117088351;42.91707736
1PO;2267.14;2270.54;AC9;26322-17;9.055;8.14;18.48521074;19.98054962;39.91962999
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;0.026942866;96.81803932
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;0.065478124;95.8036634
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;0.156579636;73.095526
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;0.37528423;54.09781002
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;0.896340021;44.3110305
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;2.147868812;37.93997492
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;4.209822871;34.14675982
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;8.117088351;31.04989028
1PO;2269.21;2272.61;AC9;26341-17;53.57;50.952;21.76600104;19.98054962;27.3717587
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;0.026942866;97.3359824
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;0.065478124;86.53250443
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;0.156579636;54.82706317
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;0.37528423;43.46386379
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;0.896340021;37.83033177
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;2.147868812;32.75652118
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;4.209822871;29.78700677
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;8.117088351;26.92217309
1PO;2278.98;2282.54;AC9;26358-17;123.538;120.562;21.84114613;19.98054962;24.34574548
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;0.026942866;96.38743455
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;0.065478124;79.72731239
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;0.156579636;49.19720768
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;0.37528423;40.15488656
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;0.896340021;35.13307155
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;2.147868812;31.13656195
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;4.209822871;27.72687609
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;8.117088351;25.46684119
1PO;2279.55;2283.11;AC9;26365-17;139.984;136.81;21.50185839;19.98054962;23.32678883
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;0.026942866;97.64953763
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;0.065478124;96.94252604
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;0.156579636;69.35736861
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;0.37528423;51.95364626
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;0.896340021;44.7360412
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;2.147868812;39.3117172
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;4.209822871;35.71579071
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;8.117088351;32.47337001
1PO;2279.85;2283.41;AC9;26369-17;39.961;38.391;19.96879804;19.98054962;29.25670139
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.026942866;94.90973661
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.065478124;56.42892374
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.156579636;37.58705731
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.37528423;31.37614679
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;0.896340021;27.66696261
1PO;2292.41;2295.51;AC9;26442-17;403.469;395.225;23.32127856;2.147868812;24.50626418
