Wells;SampleID;Zones;Porosity;Permeability_Kl;Rt_Sw100;FF;Temp;Rw;Salinity;Condition;Rock Pressure;Pore Pressure
1PO;29665-17;AC9-1;13.61463521;0.135;23.00591901;34.13300775;20;0.674007962;9.43;AC;;
1PO;29666-17;AC9-1;11.62843865;1.5;28.13440875;41.74195309;20;0.674007962;9.43;AC;;
2PO;23816-18;AC9-1;14.33772129;0.373;11.34827203;29.87173215;20;0.379900033;17.6;AC;;
2PO;23817-18;AC9-1;18.80004836;3.445;7.732431173;20.3538576;20;0.379900033;17.6;AC;;
2PO;23822-18;AC9-1;21.73725528;20.898;6.104021191;16.06744054;20;0.379900033;17.6;AC;;
2PO;23823-18;AC9-1;22.77122658;55.98;5.563776576;14.64537008;20;0.379900033;17.6;AC;;
2PO;23826-18;AC9-1;11.77060103;0.153;16.34423904;43.02247334;20;0.379900033;17.6;AC;;
2PO;23827-18;AC9-1;11.88041807;0.221;18.04666993;47.50373352;20;0.379900033;17.6;AC;;
2PO;23837-18;AC9-1;11.7172218;0.355;16.18688482;42.60827432;20;0.379900033;17.6;AC;;
2PO;23839-18;AC9-1;12.44225111;0.169;15.29947874;40.27238065;20;0.379900033;17.6;AC;;
2PO;23855-18;AC9-1;10.86609978;0.161;18.61283726;48.9940396;20;0.379900033;17.6;AC;;
2PO;23856-18;AC9-1;10.00396241;0.196;22.18529974;58.39773051;20;0.379900033;17.6;AC;;
1PO;26252-17;AC9;11.59810539;3.425;27.10817628;40.21937098;20;0.674007962;9.43;AC;;
1PO;26253-17;AC9;13.29387187;7.249;21.87925516;32.46141942;20;0.674007962;9.43;AC;;
1PO;26254-17;AC9;8.184366045;0.462;52.26201328;77.53916303;20;0.674007962;9.43;AC;;
1PO;26257-17;AC9;11.22062945;2.127;31.3610397;46.52918282;20;0.674007962;9.43;AC;;
1PO;26258-17;AC9;15.4469771;7.618;20.01827088;29.70034777;20;0.674007962;9.43;AC;;
1PO;26260-17;AC9;18.88926318;34.5;14.45370939;21.44441935;20;0.674007962;9.43;AC;;
