Well;SampleID;Zone;Porosity;Permeability_Kl;Rt;Sw;RI;Temp;Rw;Salinity;Condition
2PO;23817-18;AC9-1;18.80004836;3.445;10.58530817;84.5177791;1.368949549;20;0.379900033;17.6;AC
2PO;23823-18;AC9-1;22.77122658;55.98;19.56635373;49.39950332;3.516739657;20;0.379900033;17.6;AC
2PO;23855-18;AC9-1;10.86609978;0.161;20.32677577;95.55379154;1.092083678;20;0.379900033;17.6;AC
1PO;26271-17;AC9;22.1867358;77.755;43.84127167;0.465842816;3.797454684;20;0.674007962;9.43;AC
1PO;26280-17;AC9;20.17660978;20.232;32.58237202;0.584411556;2.541336703;20;0.674007962;9.43;AC
1PO;26322-17;AC9;18.48521074;9.055;23.18357956;0.729850633;1.607691094;20;0.674007962;9.43;AC
1PO;26341-17;AC9;21.76600104;53.57;33.84558357;0.5409781;2.999255192;20;0.674007962;9.43;AC
1PO;26358-17;AC9;21.84114613;123.538;51.69705643;0.434638638;4.443882758;20;0.674007962;9.43;AC
1PO;26365-17;AC9;21.50185839;139.984;52.441546;0.401548866;4.650036062;20;0.674007962;9.43;AC
1PO;26369-17;AC9;19.96879804;39.961;42.32347084;0.519536463;2.946277927;20;0.674007962;9.43;AC
1PO;26442-17;AC9;23.32127856;403.469;69.14091047;0.313761468;6.979405278;20;0.674007962;9.43;AC
1PO;26447-17;AC9;22.00115408;72.766;41.13043565;0.515841776;3.24579311;20;0.674007962;9.43;AC
1PO;26450-17;AC9;15.94364497;0.408;19.58329595;0.952140699;1.104834359;20;0.674007962;9.43;AC
1PO;26452-17;AC9;15.11273001;0.245;19.80224564;0.956483847;1.128076733;20;0.674007962;9.43;AC
3PO;24835-18;AC9;20.97532153;32.91;21.11587083;51.10924518;3.143015871;20;0.372136263;18;AC
3PO;24841-18;AC9;21.40973949;71.8;19.64474409;52.29178127;3.084564214;20;0.372136263;18;AC
3PO;24845-18;AC9;19.75249968;25.996;17.75016171;61.44694007;2.409942178;20;0.372136263;18;AC
3PO;24857-18;AC9;13.69131458;0.232;16.66930057;95.64821901;1.129650691;20;0.372136263;18;AC
3PO;24859-18;AC9;19.28880054;8.757;13.93892574;72.11697887;1.834968386;20;0.372136263;18;AC
3PO;24863-18;AC9;20.37860754;11.155;15.22490367;63.21134574;2.216808049;20;0.372136263;18;AC
3PO;24879-18;AC9;21.34456453;50.251;20.68664079;51.43451955;3.178190088;20;0.372136263;18;AC
3PO;24881-18;AC9;21.17205835;42.505;19.62468698;52.57137849;3.06304371;20;0.372136263;18;AC
3PO;24892-18;AC9;20.93365958;28.459;18.57131162;56.71990736;2.785183782;20;0.372136263;18;AC
3PO;24893-18;AC9;21.05545155;31.08;17.56771051;56.68539498;2.518122888;20;0.372136263;18;AC
3PO;24897-18;AC9;22.00885313;78.332;26.15083631;42.21453287;4.359966219;20;0.372136263;18;AC
3PO;24903-18;AC9;21.66110124;34.182;16.98436275;56.91353757;2.692912592;20;0.372136263;18;AC
3PO;24921-18;AC9;20.22309128;6.049;12.20829858;74.28995773;1.61774126;20;0.372136263;18;AC
3PO;24933-18;AC9;10.11580381;0.071;25.81901384;96.18973196;1.077374136;20;0.372136263;18;AC
3PO;24955-18;AC9;17.46935022;0.697;11.16779034;91.26501243;1.151299267;20;0.372136263;18;AC
3PO;24960-18;AC9;18.26960271;1.059;10.68270045;90.51255501;1.20282597;20;0.372136263;18;AC
3PO;24976-18;AC9;11.88095259;0.054;16.79556997;96.02626255;1.067453638;20;0.372136263;18;AC
3PO;24985-18;AC9;12.1252096;0.012;16.45176719;97.38661846;1.094466318;20;0.372136263;18;AC
3PO;24990-18;AC9;18.69785129;3.158;11.41757801;82.78330404;1.347504434;20;0.372136263;18;AC
3PO;24991-18;AC9;12.31165063;0.417;21.2698857;93.16196026;1.150394533;20;0.372136263;18;AC
3PO;25008-18;AC9;12.16373782;0.016;15.94518339;97.98140482;1.045357338;20;0.372136263;18;AC
3PO;25013-18;AC9;12.03385542;0.023;16.10506667;97.61888456;1.116865202;20;0.372136263;18;AC
3PO;25016-18;AC9;17.61433212;1.962;13.15673112;87.680186;1.263022142;20;0.372136263;18;AC
3PO;25020-18;AC9;6.786621983;0.096;44.080256;94.70252616;1.050961568;20;0.372136263;18;AC
8PO;24355-18;AC9;12.84151782;0.075;17.02907622;95.97775531;1.162767989;20;0.379900033;17.6;AC
8PO;24357-18;AC9;11.72383271;0.101;20.99368105;94.46409764;1.193338842;20;0.379900033;17.6;AC
8PO;24363-18;AC9;22.99338932;247.89;31.59277591;36.19816702;5.576385348;20;0.379900033;17.6;AC
8PO;24383-18;AC9;24.86774409;929.638;38.78983653;30.22561999;8.31525839;20;0.379900033;17.6;AC
8PO;24385-18;AC9;25.24755703;1059.514;47.42657202;24.95281158;10.34349844;20;0.379900033;17.6;AC
8PO;24391-18;AC9;22.37510997;31.175;17.75077129;55.46619654;2.817154216;20;0.379900033;17.6;AC
8PO;24394-18;AC9;22.163728;59.744;20.70493758;48.61097081;3.504525118;20;0.379900033;17.6;AC
8PO;24399-18;AC9;16.41473278;0.169;10.45458004;95.04974815;1.115611885;20;0.379900033;17.6;AC
8PO;24401-18;AC9;15.09434695;0.082;13.95184186;92.93587866;1.190410972;20;0.379900033;17.6;AC
8PO;24405-18;AC9;9.346406051;0.153;28.53627935;95.34644225;1.069243444;20;0.379900033;17.6;AC
8PO;24411-18;AC9;12.67820894;0.029;14.48680523;96.14850216;1.09762831;20;0.379900033;17.6;AC
8PO;24414-18;AC9;20.04761571;3.623;9.872431152;81.55449701;1.383991238;20;0.379900033;17.6;AC
8PO;24413-18;AC9;19.90738349;3.274;9.648177522;82.87001764;1.356983496;20;0.379900033;17.6;AC
8PO;24417-18;AC9;13.44210216;0.128;15.88403423;96.15597457;1.125111255;20;0.379900033;17.6;AC
8PO;24419-18;AC9;17.18878913;0.579;10.78285735;92.90633059;1.151665136;20;0.379900033;17.6;AC
8PO;24425-18;AC9;20.40117603;9.559;13.25982986;69.01539171;1.977810656;20;0.379900033;17.6;AC
8PO;24426-18;AC9;20.91996777;6.417;10.60747309;77.61973431;1.531197339;20;0.379900033;17.6;AC
8PO;24438-18;AC9;22.10516023;169.266;27.5699453;41.62195067;4.534299327;20;0.379900033;17.6;AC
8PO;24441-18;AC9;22.04087224;118.584;22.39981556;45.06974821;3.727600302;20;0.379900033;17.6;AC
8PO;24443-18;AC9;10.83940545;0.152;24.56902796;94.51460645;1.166433371;20;0.379900033;17.6;AC
8PO;24449-18;AC9;19.59564637;26.219;21.15298139;56.63618389;2.651624605;20;0.379900033;17.6;AC
8PO;24461-18;AC9;20.21158994;37.969;17.56420242;58.3631822;2.630564325;20;0.379900033;17.6;AC
8PO;24469-18;AC9;22.33710952;20.913;15.17055976;61.00840459;2.374193293;20;0.379900033;17.6;AC
8PO;24473-18;AC9;22.01203981;47.379;15.04307219;58.44526771;2.397513604;20;0.379900033;17.6;AC
8PO;24478-18;AC9;22.75688972;55.771;20.26922109;48.97833706;3.412145307;20;0.379900033;17.6;AC
8PO;24483-18;AC9;21.93533401;53.222;20.89282798;49.29785974;3.293834152;20;0.379900033;17.6;AC
8PO;24485-18;AC9;11.93626114;0.043;19.45325843;96.47486066;1.134114874;20;0.379900033;17.6;AC
8PO;24494-18;AC9;11.98619434;0.109;16.72023807;96.17619715;1.161965617;20;0.379900033;17.6;AC
8PO;24496-18;AC9;12.10095354;0.185;16.69581266;94.53629445;1.099424317;20;0.379900033;17.6;AC
8PO;24499-18;AC9;11.87944463;0.086;15.93968529;96.37850006;1.090602642;20;0.379900033;17.6;AC
8PO;24505-18;AC9;11.55660591;0.052;17.11207179;96.61099042;1.064562205;20;0.379900033;17.6;AC
8PO;24517-18;AC9;11.63522583;0.259;19.86519167;93.20978836;1.196425076;20;0.379900033;17.6;AC
8PO;24521-18;AC9;11.60155235;0.098;17.6961896;94.03386726;1.078645475;20;0.379900033;17.6;AC
8PO;24522-18;AC9;9.886535588;0.207;26.22045505;93.35959516;1.156137165;20;0.379900033;17.6;AC
